Dataset,Protocol,Classifier,Acc,BalAcc,Sen,Spe,PPV,NPV,F1,MCC,Kappa,AUC,SubjAcc
RepOD,LOSO,SVM,61.76,60.96,69.20,52.72,64.02,58.47,0.6651,0.2220,0.2211,0.6613,60.71
RepOD,LOSO,RF,55.42,53.64,71.91,35.37,57.50,50.87,0.6390,0.0781,0.0748,0.5249,46.43
RepOD,LOSO,KNN,59.07,58.72,62.25,55.19,62.81,54.60,0.6253,0.1743,0.1743,0.6174,53.57
RepOD,LOSO,LDA,57.10,56.80,59.83,53.78,61.15,52.41,0.6048,0.1358,0.1358,0.5937,57.14
RepOD,LOSO,ENSEMBLE,60.18,59.41,67.35,51.47,62.79,56.46,0.6499,0.1903,0.1897,0.6075,57.14
RepOD,GKF,SVM,71.37,70.94,75.38,66.51,73.23,68.96,0.7429,0.4204,0.4202,0.7866,71.43
RepOD,GKF,RF,67.01,65.67,79.48,51.85,66.74,67.52,0.7256,0.3276,0.3199,0.7041,64.29
RepOD,GKF,KNN,64.97,64.88,65.83,63.92,68.93,60.61,0.6734,0.2965,0.2961,0.6904,67.86
RepOD,GKF,LDA,63.34,63.23,64.39,62.07,67.36,58.91,0.6584,0.2637,0.2634,0.6435,67.86
RepOD,GKF,ENSEMBLE,67.69,67.39,70.49,64.29,70.59,64.18,0.7054,0.3478,0.3478,0.7401,64.29
