Dataset,Protocol,Classifier,Acc,BalAcc,Sen,Spe,PPV,NPV,F1,MCC,Kappa,AUC,SubjAcc
MSU,LOSO,SVM,82.64,82.24,87.74,76.75,81.32,84.44,0.8441,0.6512,0.6488,0.9147,84.52
MSU,LOSO,RF,81.20,80.74,87.20,74.27,79.64,83.42,0.8325,0.6226,0.6193,0.8908,83.33
MSU,LOSO,KNN,79.56,79.22,83.91,74.54,79.18,80.06,0.8147,0.5884,0.5871,0.8624,84.52
MSU,LOSO,LDA,82.51,82.48,82.99,81.96,84.15,80.68,0.8356,0.6489,0.6488,0.8990,88.10
MSU,LOSO,ENSEMBLE,84.61,84.31,88.51,80.11,83.70,85.80,0.8603,0.6905,0.6892,0.9211,85.71
MSU,GKF,SVM,83.58,83.21,88.35,78.07,82.30,85.31,0.8522,0.6702,0.6680,0.9182,85.71
MSU,GKF,RF,80.38,79.94,86.05,73.83,79.14,82.10,0.8245,0.6056,0.6029,0.8956,83.33
MSU,GKF,KNN,78.94,78.69,82.22,75.15,79.25,78.56,0.8071,0.5759,0.5754,0.8554,86.90
MSU,GKF,LDA,82.31,82.23,83.30,81.17,83.62,80.81,0.8345,0.6444,0.6444,0.8937,86.90
MSU,GKF,ENSEMBLE,85.59,85.35,88.74,81.96,85.02,86.31,0.8684,0.7102,0.7094,0.9232,88.10
