Config,Protocol,Classifier,Acc,BalAcc,Sen,Spe,PPV,NPV,F1,MCC,AUC
ERP-only,LOSO,SVM,65.43,62.76,75.51,50.00,69.81,57.14,0.7255,0.2622,0.6818
ERP-only,LOSO,RF,71.60,67.86,85.71,50.00,72.41,69.57,0.7850,0.3872,0.6987
ERP-only,LOSO,KNN,66.67,65.94,69.39,62.50,73.91,57.14,0.7158,0.3147,0.6865
ERP-only,LOSO,LDA,54.32,55.20,51.02,59.38,65.79,44.19,0.5747,0.1018,0.5392
ERP-only,LOSO,ENSEMBLE,61.73,60.78,65.31,56.25,69.57,51.43,0.6737,0.2127,0.6633
ERP-only,GKF,SVM,64.20,61.19,75.51,46.88,68.52,55.56,0.7184,0.2321,0.6939
ERP-only,GKF,RF,69.14,65.27,83.67,46.88,70.69,65.22,0.7664,0.3312,0.6875
ERP-only,GKF,KNN,64.20,64.45,63.27,65.62,73.81,53.85,0.6813,0.2827,0.6645
ERP-only,GKF,LDA,59.26,61.45,51.02,71.88,73.53,48.94,0.6024,0.2268,0.6591
ERP-only,GKF,ENSEMBLE,64.20,63.90,65.31,62.50,72.73,54.05,0.6882,0.2729,0.7251
Tucker-only,LOSO,SVM,35.80,36.10,34.69,37.50,45.95,27.27,0.3953,-0.2729,0.2270
Tucker-only,LOSO,RF,54.32,49.78,71.43,28.12,60.34,39.13,0.6542,-0.0048,0.5446
Tucker-only,LOSO,KNN,54.32,51.40,65.31,37.50,61.54,41.38,0.6337,0.0286,0.5348
Tucker-only,LOSO,LDA,53.09,44.96,83.67,6.25,57.75,20.00,0.6833,-0.1497,0.4311
Tucker-only,LOSO,ENSEMBLE,55.56,47.00,87.76,6.25,58.90,25.00,0.7049,-0.0982,0.4114
Tucker-only,GKF,SVM,43.21,42.22,46.94,37.50,53.49,31.58,0.5000,-0.1524,0.4426
Tucker-only,GKF,RF,58.02,55.01,69.39,40.62,64.15,46.43,0.6667,0.1029,0.5912
Tucker-only,GKF,KNN,54.32,51.40,65.31,37.50,61.54,41.38,0.6337,0.0286,0.5261
Tucker-only,GKF,LDA,59.26,51.69,87.76,15.62,61.43,45.45,0.7227,0.0482,0.5134
Tucker-only,GKF,ENSEMBLE,58.02,50.67,85.71,15.62,60.87,41.67,0.7119,0.0184,0.5217
ERP+Tucker,LOSO,SVM,65.43,62.76,75.51,50.00,69.81,57.14,0.7255,0.2622,0.6747
ERP+Tucker,LOSO,RF,70.37,66.29,85.71,46.88,71.19,68.18,0.7778,0.3582,0.6853
ERP+Tucker,LOSO,KNN,69.14,67.98,73.47,62.50,75.00,60.61,0.7423,0.3579,0.6671
ERP+Tucker,LOSO,LDA,60.49,61.93,55.10,68.75,72.97,50.00,0.6279,0.2341,0.6371
ERP+Tucker,LOSO,ENSEMBLE,65.43,64.92,67.35,62.50,73.33,55.56,0.7021,0.2936,0.7219
ERP+Tucker,GKF,SVM,66.67,64.86,73.47,56.25,72.00,58.06,0.7273,0.2989,0.6974
ERP+Tucker,GKF,RF,69.14,65.27,83.67,46.88,70.69,65.22,0.7664,0.3312,0.6936
ERP+Tucker,GKF,KNN,65.43,64.92,67.35,62.50,73.33,55.56,0.7021,0.2936,0.6588
ERP+Tucker,GKF,LDA,61.73,61.86,61.22,62.50,71.43,51.28,0.6593,0.2321,0.6327
ERP+Tucker,GKF,ENSEMBLE,65.43,63.84,71.43,56.25,71.43,56.25,0.7143,0.2768,0.7054
