Config,Feature blocks,LOSO Acc,LOSO MCC,LOSO SubjAcc,GKF Acc,GKF MCC,GKF SubjAcc
A1,Hjorth+PSR,56.59,0.1208,53.57,60.16,0.1945,57.14
A2,Connectivity (broadband),76.57,0.5263,75.00,76.09,0.5154,78.57
A3,BandPower+Conn,75.04,0.4940,75.00,72.62,0.4440,71.43
B1,Raw baseline,73.52,0.4625,64.29,70.76,0.4057,64.29
C1,TuckerErr+Conn,76.19,0.5177,75.00,74.51,0.4830,75.00
C2,CC-Tucker only,57.45,0.1244,46.43,62.52,0.2324,67.86
C3,Raw+CC-Tucker,60.18,0.1903,57.14,67.69,0.3478,64.29
D1,Raw+BandConn,65.66,0.3006,64.29,66.43,0.3158,64.29
D2,BandConn only,71.92,0.4301,75.00,69.89,0.3876,67.86
D3,Raw+BandConn+Tucker,63.07,0.2471,60.71,65.30,0.2927,67.86
