Config,Feature blocks,LOSO Acc,LOSO MCC,LOSO SubjAcc,GKF Acc,GKF MCC,GKF SubjAcc
A1,Hjorth+PSR,73.93,0.4762,83.33,74.96,0.4959,82.14
A2,Connectivity (broadband),74.14,0.4807,75.00,74.96,0.4960,78.57
A3,BandPower+Conn,81.16,0.6213,82.14,82.39,0.6466,85.71
B1,Raw baseline,83.62,0.6715,86.90,82.76,0.6537,84.52
C1,TuckerErr+Conn,74.34,0.4844,78.57,74.10,0.4783,77.38
C2,CC-Tucker only,81.24,0.6223,86.90,78.65,0.5709,84.52
C3,Raw+CC-Tucker,84.61,0.6905,85.71,85.59,0.7102,88.10
D1,Raw+BandConn,83.66,0.6713,86.90,83.13,0.6604,86.90
D2,BandConn only,78.28,0.5627,78.57,78.53,0.5676,78.57
D3,Raw+BandConn+Tucker,84.15,0.6811,86.90,84.15,0.6812,88.10
